PID,Have you ever used AI tools or assistance in your work?,Which AI tools have you used? (Select all that apply),For what purposes have you used AI tools?,How frequently do you use AI tools in your work?,"To what extent has AI assistance improved your productivity? (1 - Not at all, 2 - Slightly, 3 - Moderately, 4 - Significantly, 5 – Drastically)","How much do you trust the output generated by AI tools? (1 - Not at all, 2 - Slightly, 3 - Moderately, 4 - Significantly, 5 – Drastically)",What challenges have you faced while using AI tools? (Select all that apply),Do you prefer working with GitHub Copilot or with a peer? Please explain.,Do you think your concentration is better when working with GitHub Copilot or with a peer? Please explain.,Do you think the quality of your code is better when working with GitHub Copilot or with a peer? Please explain.,Do you think you work faster with GitHub Copilot or with a peer? Please explain.,Do you trust your solution more when using GitHub Copilot or when consulting a peer? Please explain.,"Do you retain information about your solution more when using GitHub Copilot or when consulting a peer? If asked to solve the tasks again without Copilot or a peer, which solutions would come to mind more easily? Copilot’s? Your peer’s?",Explain your solution briefly for the edge case handling in update_processcount method.,Explain your solution briefly for the fallback logic in get_io_counters method.,Explain your solution briefly for adding the new method serve_limited.,Explain your solution briefly for the logging in the authentification of check_user method.,Explain your solution briefly for adding a PluginStatistics class.,Explain your solution briefly for the optional filtering in the getAll function.,"On a scale of 1 to 10, estimate the overall difficulty of the tasks you were asked to complete. Please specify a number. (1: very easy – 10: very difficult).",To what extent did you rely on the AI's suggestions in your tasks? (1 - Not at all    2 – Slightly.    3 – Moderately  4 - Very much 5 – Completely),To what extent did you rely on your peer’s suggestions in your tasks? (1 - Not at all    2 – Slightly.    3 – Moderately  4 - Very much 5 – Completely),"After completing the tasks, would you do anything differently next time? Please explain.",Any additional comments?
p110,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Correcting codes",Daily,4,3,Incorrect or irrelevant suggestions,I prefer working with Github copilot because its faster.,"Yes, i can ask whatever i want without being shy","Yes, because it will search in all the data that Github is trained but the peer will only use his knowledge ","Yes , peer will take more time because its human its not based on alll data that Github has",Depends based on the solution,It depends on the question and how focused i was,I don’t remember ,I don’t remember ,I don’t remember,I don’t remember ,I don’t remember ,I don’t remember ,6,3,2,Maybe ask the peer to answer as he/she doesn’t know the solutions of the questions just as a new work for both of us and answer based on this,
p111,Yes,"ChatGPT, Copilot (GitHub), Copilot inline (not chat), gpt o1, o1-preview, 4o","Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,5,4,Lack of explainability in AI outputs,"Copilot, no need to be nice. I can just paste random code and explain later.","Copilot, I don’t have to focus on a conversation, I can focus on the code more.","Copilot, it’s hard to judge the knowledge of the peer.","Copilot, no need to wait or converse","A peer, I can confirm that what I did is good. Copilot has extreme confirmation bias.","Peer, with a peer you need to provide more context and read the code that you copy before sending it over.",N/A,Appended the tag and the time.time() timestamp to the list after importing time,"Serving requests with a counter, but I don’t remember so well.","logging the username, but didn’t finish","Counting plugins that are enabled and disabled, using an argument to do this but a bit vague","Didn’t finish, I was trying to filter using the filter list",7,4,5,I would be more explicit about what I’m trying to achieve with my peer,
p112,Yes,ChatGPT,I wanted to know more about hierarchical state machines,Rarely or never,1,1,"Lack of explainability in AI outputs, Not being used to having it give me code that I should assume is correct and that I am not familiar with","Peer, it is more stimulating.","Peer, it is more stimulating.","Peer, I trust their answers more and we can debate if there is doubt.","Peer, I am not used to Copilot yet so I was not willing to trust its outputs.","Peer, we can debate when there is doubt.","Peer, the experience is much easier to remember. With Copilot, I feel like I lose concentration more.

If I were to do these tasks again, I would do it with a peer or alone.",I do not remember.,I do not remember.,"I knew the solution was to just add a counter member to the server class but I was stumped on figuring out how to get the server requests limit (I was not familiar with the libraries used). Copilot gave me code but I would not trust it unless I understood how the config files worked and what was written in them. Because of the time limit, I ended up just pasting the output from Copilot and moving on.",I just used logger.info(msg...) and concatenated a string with the username. I just changed the message from 'login successful' to 'login failed' depending on which case we were in.,I added second pass to the method where we remove the plugins that were not in the provided filter list.,I do not remember.,6,2,4,"If given a peer, I would ask them more questions. If alone, I would keep looking at how the project works to answer the questions.",It was fun! The eye tracker was cool but the related software seemed to have issues...
p113,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,5,4,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow, Lack of explainability in AI outputs, Ethical concerns about data privacy or security","I prefer working with GitHub Copilot because I can get responses way faster and with more precision. With the peer, it takes more time since he doesn't have access to all my files.","I think my concentration is better when working with GitHub Copilot because I don't spend more time trying to explain all the code, I can just ask and it gives me an answer which means I can stay focused on the main issues.","I think the quality of my code is better when working with GitHub Copilot because it gives me a direct answer based on my code and the files that I am working on, instead of giving me hints on what I should improve like what the peer did.","I think I work faster with GitHub Copilot because it can give a direct answer to my question. If I ask something to the peer, I have to take more time giving him context and explaining what I am trying to do.","I trust both of them, but I have to say that I trust GitHub Copilot a bit more since it has already access to all my code, so it knows how to perfectly answer the question based on all the files that I am currently working on.","Since I spend more time explaining my code to the peer and since I discuss the answer more with the peer than with the AI, I retain information much more with a peer. If I had to solve the tasks again, the peer's solutions would come to mind more easily since we actually had a discussion about those answers.","I didn't have time to do this task unfortunately, but I would've used all the help needed to get the task done.",It uses the time library to get a timestamp on when the values are initialized.,"I didn't have time to do this task unfortunately, but I would've used all the help needed to get the task done.","I didn't have time to do this task unfortunately, but I would've used all the help needed to get the task done.","I didn't have time to do this task unfortunately, but I would've used all the help needed to get the task done.","I checked if the second parameter was given using the if statement, and returned the plugings whose names where in the filter_list. If the optional parameter was not given, I just returned all the plugins.",10,5,4,"If I am in a time crunch, I would use the AI to speed up my programming. If I want to have a better understanding of the code, I would ask the peer for more help and guidance. Other than that, I wouldn't change anything else.","It was my first time working with this type of program, and I thoroughly enjoyed my experience."
p114,Yes,"ChatGPT, Gemini","Documentation or comments, Research on how to use some libraries",Occasionally,4,2,Incorrect or irrelevant suggestions,Copilot for help on how to use external libraries/code and a peer for brainstorming,"With a peer, I concentrate more because I am more afraid of saying stupid things, and I only concentrate with Copilot when I have to read and validate its output.","It`s more readable when I use Copilot because the auto complete function does a pretty good job with code quality. However, the code is better with a peer because we can talk about the architecture and the design patterns to use which I don't do with copilot.","Copilot, with a peer, you have to explain the context however that's not the case with Copilot.","Consulting a peer, by experience copilot gets a lot of things wrong.","I retain more when using a peer because when copilot autocompletes, I just read to see if it makes sense but I don't really try to learn from what it wrote.",I didn't do it.,"I created a timestamp in the else (where it created the default IO values), I added it at the start of the list. ","I created an attribute to keep count of the number of request served and an attribute for the max number of request to serve. Then in the while loop I serve the request and increase the number of request served. The while stops when the number of request served reaches the max number of requests, then I use an already existing function to stop the server",I just checked if the password was correct by checking what was previously returned and logged the username and the authentication status before returning the result.,"I created the class, this class takes in its constructor an instance of the other class to call (the one that gets the list of enabled and non enabled plugins), created 2 methods, one to get the number of enabled plugin (len of the result of the method of the other existing class) and one to get the disabled plugin (len of the result of the method of the other existing class, with False as parameter)","take an optional param, which is None by default, if it is None, returns what was previously returned (if ... is None), else takes what was previously returned but with an if that checks if it is in the list taken as parameter",3,4,3,"I would not do anything differently, I feel like I was not that bad.",
p115,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Occasionally,4,4,Difficulty integrating AI suggestions into my workflow,GitHub Copilot when in chat and a peer when talking ,Same,GitHub Copilot as it knows the norms of the language I am using and reflecting my previous code ,GitHub Copilot because I don't have to plan a call,A peer as the peer can test it,GitHub Copilot as it now (2024) is really good and changed a lot since the start of these type of helpers,"checking if two variables are the same using ""is"" is not a good thing to do as it does not check if the values are the same without taking care about the memory  (==) is better ",just added the timestamp and the tag using +=,adding a function that gets the limit as an input then initialize a counter and add it every time and when the counter gets to the limit end the code using an already implemented function,"checked the boolean that was getting returned and added a condition to know if it is true or not 
True :  log it out with info and providing the username only then returning True
False : log it out with error and providing nothing as we do not want to provide any sensitive data only then returning False",Did not finish it but I wanted to create 2 functions to call one with the enabled and one with the disabled ones and before having an instance of the plugin ,"Adding an optional input filter list and checking if it is None, in this case using the same code 
In the other case modifying the code to check if the elements are in the filter list",3,3,3,Maybe using the peer more often just to have parallel work so I can think and she can too at the same time (as I am already doing for the AI),I had to think to remember what were the questions about
p116,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming, ",Daily,4,3,"Incorrect or irrelevant suggestions, Lack of explainability in AI outputs",GITHUB BECAUSE IT GEENERATE CODE AND I CAN COMPARE,YES ,YES,YES,YES,COPILOT,PUT CONDITIONS,PEER,PEER,PEER,PEER,PEER,7,3,3,USE  AI more,
p117,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting, Idea brainstorming",Daily,4,5,"prompting clearly my needs, so that the AI understands my goal","copilot, since it has a better understanding of the context of my code it's easier to ask questions","better concentration with copilot because rendering of answer is faster and clearer , I can seamlessly switch my focus from the code to the copilot without really waiting for a response like I would with a peer.",better with copilot because I would just use it to transform parts of my code using prompts and then checking if the  answer is what I wanted to code,I work faster with Copilot because its thought process is faster and requires less active context from myself since it has already processed the entire codebase,"it always read the solution given , whether it's from a peed or copilot",I retain more information when consulting a peer since it implies a longer process of back and forth (clarifying your questions to the peer and providing specific context),"solution given by copilot , can't answer","solution given by copilot, can't answer ","the method has a parameter n_requests_limit, I then initialised a variable counter to 0, I was then looking for a listener method to track the requests to increment accordingly, i wans then going to implement a check if the counter = the limit and self.end()   ",didn't have the time to answer ,didn't have the time to answer ,didn't have the time to answer ,8,4,2,"I would watch more the time, I would not multitask and focus solely on one task at a time",the fact that the subject is limited of movement make the coding experience unatural.
p118,Yes,"ChatGPT, Copilot (GitHub), Claude","Generating code, Debugging or troubleshooting, Idea brainstorming",Daily,3,3,"Incorrect or irrelevant suggestions, Not understanding the generated code making it harder to debug","Github Copilot, because it's usually faster, and you can put a lot of context easily","With github copilot, because you don't have to think about what you are asking, and to be polite ","Depends, if you just ask for the answer to copilot and directly use the code, sometimes some parts are irrelevant, when you code with a peer, all the ideas and code come from you","Github copilot, because the answers are faster and more relevant","Probably Github Copilot, but it depends on the expertise of the peer","when consulting a peer, because you really need to think about the solution. And probably the peer's solution would come to mind more easily because they are a human",I didn't do it,i just added a timestamp ,"i added a for loop with a count as parameter, logging when it starts and finishes","I didn't have the time to finish it, but I would've just logged the username of the connected user ",I didn't do it,"if the function is not passed a filter, same as before, and if it's passed a plugin filter, get the stats for the plugins if it exist",5,3,2,"To be quicker, I would probably use copilot more for the first half, but at the cost of my comprehension",It was interesting to compare my use of ai vs peer programming
p119,Yes,ChatGPT,"Generating code, Debugging or troubleshooting",Daily,5,3,"Incorrect or irrelevant suggestions, Lack of explainability in AI outputs","With a peer 100%. Even though I have to give more context, the peer gives much more reliable information, and is able to assess the certainty of its response (most people mention their uncertainty when they think their response is incomplete or wrong). Github copilot only outperforms the peer in situations where I am under heavy time pressure and I cant afford to understand the code I write.","With a peer, because responses are concise and easy to digest. There might be a teamwork aspect to it as well, but I could'nt explain why.","Under heavy time pressure, Github. Without time pressure, a peer.","Copilot helps me generate code faster, The peer helps me figure out what I'm making faster. Therefore, if I have a strict quality requirement, the peer will help me deliver faster. Otherwise, Copilot wins.","Consulting a peer, because humans will be evaluating the quality of my code, not LLM's. Having a peer approve of my code is therefore closer to the final assessment criteria.","My gut feeling tells me that I have better memory of the peer code, but take this statement with a grain of salt because it is the most recent activity I did, so it is fresher in my memory.",replace is with == in the filtering lambda. Forgot why,I forgot what I did,Ran out of time,Skipped this task as I am unfamiliar with logging,"I made an init with the intention to get an instance of the class on construction, and made methods to get the total plugins, active and inactive plugin counts.",Ran out of time ,7,5,4,I would ask the AI to digest the problem for me a bit quicker. I waited too long to do so,
p120,Yes,"ChatGPT, Copilot (GitHub), Claude","Generating code, Debugging or troubleshooting, Idea brainstorming",Daily,5,4,Incorrect or irrelevant suggestions,"I prefer working with a peer, since from my personal experience, Github Copilot is one of the worst AI tools out there.",With Copilot because I don't have to explain  my thought process behind every idea that comes to my mind,"Definitely with a peer, while the productivity itself may not be as good, 2 actual brains are way better at writing code in my experience.",I work faster but I wouldn't say the quality of the code is necessarily better too. Its a tradeoff between time and quality,"I definitely trust the solution of my peer more. However when it comes to more ""intelligent modals"" such as o1 of ChatGPT, I trust these solutions more unless I'm working with someone who has a lot of experience","I do retain information more with a peer. Because when I use Copilot I tend so simply copy whatever it throws at me in the hopes that it solves the issue. For this situation however, I haven't really used the peer assistance thus I would say the Copilots solution comes to mind faster",I did struggle a bit because it was the first assignment I had to do. So I basically relied entirely on Copilots answers to solve the problem for me,"The wording was a bit off for the problem, however the hints definitely helped me a bit. Once  figured out that I had to apply the update in the else block everything was clearer.",This was the easiest task to do . I basically just implemented a basic while loop that would increment a variable after every iterations. ,This problem too was a bit trivial. I was a bit scared of my code quality as I could have definitely came up with a more elegant solution. I forgot to use the logger module at first and I was struggling a bit to find a nice format for the logs,I simply  made that class a child of the parent class and I used s super() in the init to have access to all of its methods and attributes. The hint about using existing classes definitely helped ma and saved me a lot of time.,I couldn't finish the problem as the use of a lambda function really threw me off. It was the only time I asked for the other programmers help,5,3,2,I would actually take time to simply read some python and the basics of it just so I don't waste too much time trying to think about trivial things during the evaluation. I would also take the time to learn a bit more about Pycharm as am a VScode user that relies a lot on shortcuts for his productivity,I found a lot of the questions interesting and fun. I would have liked to have a bit more time to read through the codebase to understand what was happening buy maybe this was part of the experience
